univ,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,unit,ss
東北大学文学部,2.5,2.7,2.6,2.6,2.7,2.8,2.3,2,2.1,2.1,2,2.3,2.5,1,60
北海道大学文学部,3.4,3.3,3.3,3,2.8,2.6,3,2.9,2.4,2.9,2.5,3,2.4,2,62.5
北海道大学教育学部,2.3,2.6,2.7,2.5,2.9,3.1,4.4,3.2,2.5,2.7,2.7,3.4,2.3,3,61.2
北海道大学法学部,2.5,2.7,2.2,2.3,2.3,2.2,2.2,1.8,2.3,1.7,2.2,2.2,2.4,4,61.2
北海道大学経済学部,3.2,2.9,3.2,2.9,3,2.9,2.7,2.3,2,2.5,2.2,2.2,2.7,5,61.2
北海道大学医学部,4.7,4,4.1,4.1,3.6,2.9,3.4,3.6,3.5,3,3.9,3.5,3.5,6,65
北海道大学歯学部,4.9,4.2,3.1,3.2,3.5,3.5,3.1,6.2,2.9,4.7,3.8,3.2,3.6,7,56.2
北海道大学薬学部,6.4,5,4.8,4.7,3.8,3.9,5,5.7,5.4,4.4,4,4,4,8,60
北海道大学水産学部,2.3,2.1,2.3,2.8,2.9,3.5,3.1,3,3.3,3.2,3.1,2.6,2.7,9,56.2
北海道大学獣医学部,7.6,5.5,8.1,7,5.9,5,5.1,4.7,5.1,4.4,4.2,4.1,4.6,10,61.2
北海道大学農学部,3.8,3.1,2.9,3.3,3.2,3,4.5,3.1,4,3,3,2.6,2.8,11,58.7
大阪大学文学部,3.5,3.3,2.8,2.8,3.2,2.9,2.9,2.7,2.5,2.5,2.7,2.5,3,12,65
大阪大学人間科学部,2.5,2.4,2.4,2.7,2.7,2.6,2.8,2.4,2.1,2.6,2.5,2.6,2.6,13,65
大阪大学法学部,2.6,2.4,1.9,2.2,2.2,2.7,2.3,2.2,1.7,1.7,1.9,2.4,1.8,14,65
大阪大学経済学部,2.9,2.8,3.4,3.4,3.1,3.5,2.5,2.4,2.6,2.6,2.7,2.4,2.8,15,65
大阪大学医学部,3.1,2.7,3,2.9,2.8,3.2,2.9,2.7,3,2.7,2.5,2,2.4,16,70
大阪大学歯学部,2.7,2.5,2.3,1.7,2,2.3,2.1,2.6,2.4,2.2,2.2,2.1,3,17,60
大阪大学薬学部,5.8,4.3,3.8,5.1,3.9,4.4,5.3,5.5,4.7,4.8,4.2,4.5,4.8,18,62.5
東京大学文科一類,4.2,4,3.4,4.1,3.2,3.9,4,2.9,3.1,3.3,3,3.3,3.3,19,67.5
東京大学文科二類,3.4,3.3,3.7,3.4,3.2,3.4,3.1,3.2,3.1,3.1,3,3.2,3.4,20,67.5
東京大学文科三類,3.5,3.7,3.6,3.2,3.3,3.2,3.1,3.5,3.2,3,3.5,3.3,3.3,21,67.5
東京大学理科一類,2.6,2.9,2.8,2.6,2.7,2.6,2.8,2.6,2.7,2.8,2.7,2.6,2.7,22,67.5
東京大学理科二類,4.4,4,4.3,3.9,3.7,3.9,4.2,3.8,4,4,3.5,4,4.1,23,67.5
東京大学理科三類,5.4,5.1,4.6,5.5,5,5.7,5,5.5,5.1,4.8,5.6,5.4,4.6,24,70
一橋大学商学部,4.1,4.1,4,4.2,3.5,3.1,3.7,3.5,3,3,3.1,3.7,3.2,25,65
一橋大学経済学部,4.7,4.8,3.5,3.6,5,4.3,3.5,2.7,3.3,3.5,3.2,3.3,3.8,26,65
一橋大学法学部,3.8,3.7,5.3,3.3,3.9,3.9,3.5,3.3,3,3.5,3.3,3.9,3.1,27,67.5
一橋大学社会学部,4.4,4,4.7,3.7,3.6,3.6,3.4,3.1,3.6,3.2,3.5,3.1,4,28,67.5
